Year,State,18-44 percentage,45-64 percentage,65-74 percentage,75+ percentage
2007.0,Arizona,2.9,12.7,21.5,12.0
2007.0,Arkansas,3.5,13.3,17.6,17.2
2007.0,California,2.0,10.6,22.5,19.4
2007.0,Colorado,1.5,7.4,14.0,16.8
2007.0,Connecticut,2.5,8.5,18.6,16.1
2007.0,Delaware,3.1,11.2,20.8,18.4
2007.0,District of Columbia,2.4,12.5,21.4,18.9
2007.0,Florida,2.4,10.9,18.9,18.1
2007.0,Georgia,4.3,14.6,24.4,23.0
2007.0,Hawaii,1.9,10.3,21.2,14.4
2007.0,Idaho,2.6,10.8,17.7,20.2
2007.0,Illinois,3.0,11.9,22.1,19.3
2007.0,Indiana,1.7,12.4,23.0,17.6
2007.0,Iowa,1.7,8.4,17.0,15.6
2007.0,Kansas,2.0,10.1,16.5,17.5
2007.0,Kentucky,3.1,14.4,22.3,18.4
2007.0,Louisiana,3.2,13.9,26.9,21.8
2007.0,Maine,2.7,9.4,16.8,16.3
2007.0,Maryland,2.1,11.7,22.0,18.8
2007.0,Massachusetts,2.5,9.5,17.9,16.3
2007.0,Michigan,2.8,11.4,22.0,20.4
2007.0,Minnesota,1.5,8.0,12.0,15.5
2007.0,Mississippi,3.9,15.4,25.7,23.8
2007.0,Missouri,2.0,11.9,18.7,15.2
2007.0,Montana,2.1,7.9,16.0,14.2
2007.0,Nebraska,1.9,9.7,17.2,16.3
2007.0,Nevada,2.5,11.0,19.6,20.4
2007.0,New Hampshire,1.6,9.3,17.7,17.9
2007.0,New Jersey,2.8,12.1,22.7,20.1
2007.0,New Mexico,3.2,10.1,18.5,13.8
2007.0,New York,1.8,12.6,18.8,17.6
2007.0,North Carolina,2.7,13.3,21.2,19.9
2007.0,North Dakota,1.6,8.3,15.9,13.7
2007.0,Ohio,3.0,12.9,21.7,18.9
2007.0,Oklahoma,3.5,14.2,22.5,18.4
2007.0,Oregon,1.5,9.6,18.3,15.2
2007.0,Pennsylvania,2.7,10.2,19.9,19.8
2007.0,Rhode Island,1.8,10.0,18.0,15.8
2007.0,South Carolina,3.3,13.3,21.9,18.7
2007.0,South Dakota,2.3,8.0,16.2,14.9
2007.0,Tennessee,5.1,15.4,24.7,24.9
2007.0,Texas,4.6,14.5,25.3,20.6
2007.0,Utah,1.6,9.8,16.7,17.7
2007.0,Vermont,2.7,8.5,15.4,14.4
2007.0,Virginia,2.3,10.9,21.2,19.3
2007.0,Washington,2.3,9.6,17.8,16.1
2007.0,West Virginia,3.5,14.4,22.6,19.5
2007.0,Wisconsin,1.4,8.4,17.6,15.4
2007.0,Wyoming,2.0,8.5,17.8,17.6
2007.0,Guam,2.7,19.2,26.1,
2007.0,Puerto Rico,2.9,20.1,33.0,23.1
2007.0,Virgin Islands of the U.S.,1.7,13.3,25.0,28.8
2008.0,Alabama,4.1,15.8,23.4,19.3
2008.0,Alaska,3.4,8.1,20.8,14.9
2008.0,Arizona,2.3,10.7,19.6,18.0
2008.0,Arkansas,3.3,12.7,20.2,19.2
2008.0,California,3.0,12.3,21.9,18.1
2008.0,Colorado,2.3,8.0,15.3,14.3
2008.0,Connecticut,2.1,8.2,18.0,14.0
2008.0,Delaware,2.7,10.7,19.6,17.6
2008.0,District of Columbia,2.0,11.9,20.3,22.9
2008.0,Florida,2.1,13.5,20.4,18.3
2008.0,Georgia,4.4,13.6,22.1,22.7
2008.0,Hawaii,2.7,10.7,17.3,18.7
2008.0,Idaho,1.4,9.9,19.8,18.4
2008.0,Illinois,2.1,12.8,19.6,18.1
2008.0,Indiana,3.2,13.0,22.9,19.7
2008.0,Iowa,1.7,9.1,16.4,16.9
2008.0,Kansas,2.2,10.9,18.9,19.6
2008.0,Kentucky,3.4,13.1,22.3,21.3
2008.0,Louisiana,3.5,14.9,24.8,21.4
2008.0,Maine,2.6,9.4,19.0,18.9
2008.0,Maryland,2.4,12.4,21.6,18.0
2008.0,Massachusetts,2.2,8.8,18.2,17.2
2008.0,Michigan,3.0,12.6,21.3,17.3
2008.0,Minnesota,1.7,7.5,17.4,13.2
2008.0,Mississippi,4.4,15.2,24.3,22.7
2008.0,Missouri,3.8,12.4,18.0,16.9
2008.0,Montana,1.8,7.4,16.0,15.8
2008.0,Nebraska,2.6,10.1,17.1,17.3
2008.0,Nevada,2.4,12.7,19.4,22.4
2008.0,New Hampshire,2.4,8.6,15.7,19.2
2008.0,New Jersey,2.3,11.3,21.5,17.5
2008.0,New Mexico,2.7,10.8,17.7,16.0
2008.0,New York,2.4,11.4,20.3,18.9
2008.0,North Carolina,3.1,12.9,20.1,22.4
2008.0,North Dakota,2.6,8.7,19.0,17.2
2008.0,Ohio,3.4,12.7,22.0,21.6
2008.0,Oklahoma,3.7,13.1,22.8,19.7
2008.0,Oregon,2.1,9.1,18.1,13.2
2008.0,Pennsylvania,2.4,10.8,21.3,18.7
2008.0,Rhode Island,2.9,8.8,14.5,19.7
2008.0,South Carolina,2.9,15.0,21.5,19.4
2008.0,South Dakota,1.6,8.6,15.4,15.5
2008.0,Tennessee,4.8,13.2,21.9,18.9
2008.0,Texas,3.4,14.6,24.0,21.1
2008.0,Utah,2.1,8.4,22.4,15.4
2008.0,Vermont,1.7,7.6,15.4,16.6
2008.0,Virginia,2.5,11.2,18.2,17.6
2008.0,Washington,2.4,9.1,16.4,16.3
2008.0,West Virginia,4.8,14.7,23.2,22.4
2008.0,Wisconsin,2.6,8.1,16.7,19.6
2008.0,Wyoming,2.6,9.4,17.3,16.0
2008.0,Guam,3.4,14.3,20.6,
2008.0,Puerto Rico,3.0,17.9,32.1,30.0
2008.0,Virgin Islands of the U.S.,3.9,13.7,27.2,23.1
2009.0,Alabama,3.8,17.0,23.6,21.3
2009.0,Alaska,1.8,8.3,19.7,15.9
2009.0,Arizona,2.9,12.4,18.5,15.6
2009.0,Arkansas,3.7,14.0,20.4,18.5
2009.0,California,2.8,14.1,22.0,18.8
2009.0,Colorado,2.0,7.7,14.5,15.3
2009.0,Connecticut,1.4,8.5,15.6,16.7
2009.0,Delaware,2.7,11.0,16.3,16.6
2009.0,District of Columbia,2.1,11.0,20.7,20.4
2009.0,Florida,4.4,12.4,23.0,18.9
2009.0,Georgia,3.0,13.3,26.3,24.3
2009.0,Hawaii,2.8,11.0,19.0,17.5
2009.0,Idaho,2.5,10.8,18.3,19.7
2009.0,Illinois,3.4,10.2,17.6,18.8
2009.0,Indiana,2.0,13.5,24.2,20.1
2009.0,Iowa,2.4,8.8,17.2,18.5
2009.0,Kansas,2.9,10.9,17.9,20.9
2009.0,Kentucky,4.7,15.7,23.7,20.5
2009.0,Louisiana,4.1,13.9,26.8,24.9
2009.0,Maine,2.1,11.0,17.7,16.1
2009.0,Maryland,2.9,12.0,25.7,18.9
2009.0,Massachusetts,2.6,10.0,19.5,17.1
2009.0,Michigan,2.8,12.2,23.5,19.5
2009.0,Minnesota,1.9,8.1,16.6,14.5
2009.0,Mississippi,3.4,16.6,26.5,21.2
2009.0,Missouri,1.8,10.6,19.3,18.5
2009.0,Montana,1.9,8.0,14.5,17.4
2009.0,Nebraska,1.8,9.4,20.0,18.0
2009.0,Nevada,2.7,10.2,16.4,23.9
2009.0,New Hampshire,2.1,8.7,18.2,15.5
2009.0,New Jersey,2.8,10.0,22.3,21.7
2009.0,New Mexico,3.3,11.3,17.8,18.7
2009.0,New York,2.2,12.1,22.0,20.1
2009.0,North Carolina,2.9,13.6,22.6,19.8
2009.0,North Dakota,2.0,9.7,16.5,18.3
2009.0,Ohio,4.1,12.4,22.0,20.1
2009.0,Oklahoma,4.1,14.8,20.9,23.7
2009.0,Oregon,3.9,10.0,17.6,15.3
2009.0,Pennsylvania,2.9,10.9,20.2,19.0
2009.0,Rhode Island,1.4,9.6,15.4,17.5
2009.0,South Carolina,3.4,14.7,20.2,21.2
2009.0,South Dakota,1.8,9.1,18.7,15.7
2009.0,Tennessee,4.9,13.8,19.6,16.5
2009.0,Texas,3.7,13.7,21.4,19.8
2009.0,Utah,1.7,9.4,20.0,17.5
2009.0,Vermont,1.2,7.9,14.9,14.6
2009.0,Virginia,2.4,11.3,19.7,18.6
2009.0,Washington,2.8,10.0,17.6,17.9
2009.0,West Virginia,4.6,15.0,27.0,21.9
2009.0,Wisconsin,1.7,11.0,22.5,17.9
2009.0,Wyoming,2.0,9.9,16.0,13.0
2009.0,Guam,4.7,15.0,26.7,
2009.0,Puerto Rico,3.7,18.3,31.9,31.9
2009.0,Virgin Islands of the U.S.,1.9,11.8,22.9,20.7
2010.0,Alabama,5.3,15.5,25.9,19.2
2010.0,Alaska,1.2,7.7,16.4,20.0
2010.0,Arizona,2.3,11.5,17.4,16.4
2010.0,Arkansas,3.1,13.1,20.8,18.4
2010.0,California,2.5,12.7,22.0,18.8
2010.0,Colorado,2.0,8.1,15.2,14.9
2010.0,Connecticut,2.5,8.9,14.6,17.7
2010.0,Delaware,2.3,11.1,21.2,18.9
2010.0,District of Columbia,3.3,8.8,21.0,22.1
2010.0,Florida,3.6,11.6,19.1,19.3
2010.0,Georgia,3.9,13.7,23.2,18.8
2010.0,Hawaii,2.8,10.3,18.1,17.8
2010.0,Idaho,2.8,10.6,17.3,18.7
2010.0,Illinois,3.1,11.5,22.3,17.1
2010.0,Indiana,3.3,13.2,21.3,20.7
2010.0,Iowa,1.9,10.2,15.8,16.3
2010.0,Kansas,2.7,11.3,19.0,17.9
2010.0,Kentucky,3.1,14.2,22.2,18.0
2010.0,Louisiana,2.6,14.5,25.1,23.1
2010.0,Maine,2.7,10.7,16.7,18.5
2010.0,Maryland,3.1,12.1,21.9,20.6
2010.0,Massachusetts,2.5,9.0,18.9,16.3
2010.0,Michigan,3.9,13.0,21.5,20.8
2010.0,Minnesota,2.0,7.7,17.8,17.5
2010.0,Mississippi,4.2,17.9,26.9,21.6
2010.0,Missouri,3.1,12.9,20.7,16.7
2010.0,Montana,2.1,8.6,15.0,15.8
2010.0,Nebraska,2.2,9.6,18.9,17.2
2010.0,Nevada,4.5,10.2,16.0,18.7
2010.0,New Hampshire,2.9,8.7,18.3,19.5
2010.0,New Jersey,2.1,12.3,21.6,21.5
2010.0,New Mexico,2.6,11.0,20.6,18.3
2010.0,New York,2.5,12.5,20.2,18.7
2010.0,North Carolina,2.8,14.0,23.2,20.0
2010.0,North Dakota,2.1,9.8,16.8,16.6
2010.0,Ohio,3.5,12.5,23.6,20.6
2010.0,Oklahoma,3.4,14.3,23.8,19.9
2010.0,Oregon,1.8,8.9,17.8,16.4
2010.0,Pennsylvania,3.3,12.3,22.6,21.7
2010.0,Rhode Island,2.4,9.7,18.0,18.8
2010.0,South Carolina,4.5,13.4,23.8,18.7
2010.0,South Dakota,1.9,8.6,14.0,17.4
2010.0,Tennessee,4.2,15.2,24.9,19.6
2010.0,Texas,3.5,14.0,23.3,22.6
2010.0,Utah,2.0,9.7,18.1,20.8
2010.0,Vermont,1.7,8.1,16.2,16.7
2010.0,Virginia,2.3,11.5,23.0,19.7
2010.0,Washington,2.7,9.8,18.7,16.2
2010.0,West Virginia,3.9,15.7,23.1,19.2
2010.0,Wisconsin,2.0,8.9,17.8,16.3
2010.0,Wyoming,2.1,9.0,19.0,15.4
2010.0,Guam,3.9,20.3,34.3,
2010.0,Puerto Rico,3.7,18.9,30.4,29.8
2010.0,Virgin Islands of the U.S.,3.1,11.4,26.6,26.8
2011.0,Virgin Islands of the U.S.,,,,
2011.0,Alabama,4.0,16.2,24.2,21.3
2011.0,Alaska,3.5,10.5,18.7,23.1
2011.0,Arizona,3.1,13.2,23.0,16.4
2011.0,Arkansas,4.0,15.5,23.8,18.0
2011.0,California,2.3,12.4,21.7,19.3
2011.0,Colorado,2.3,8.4,18.0,15.9
2011.0,Connecticut,2.6,11.1,23.9,19.8
2011.0,Delaware,2.9,12.2,20.3,22.9
2011.0,District of Columbia,2.9,13.7,20.5,25.2
2011.0,Florida,2.5,13.1,25.1,18.1
2011.0,Georgia,3.1,14.1,27.9,23.1
2011.0,Hawaii,3.0,10.4,19.2,17.9
2011.0,Idaho,3.1,12.7,21.1,20.2
2011.0,Illinois,3.6,12.3,22.2,22.2
2011.0,Indiana,3.4,14.0,23.3,18.9
2011.0,Iowa,1.4,11.3,18.1,18.3
2011.0,Kansas,2.9,13.1,20.3,20.4
2011.0,Kentucky,3.3,15.3,23.6,19.7
2011.0,Louisiana,5.2,15.3,24.2,24.2
2011.0,Maine,2.9,11.8,18.5,19.9
2011.0,Maryland,2.9,12.1,21.6,22.7
2011.0,Massachusetts,2.6,9.8,18.2,18.9
2011.0,Michigan,3.2,12.8,21.5,21.1
2011.0,Minnesota,2.8,9.0,16.1,15.5
2011.0,Mississippi,3.4,19.0,25.4,23.1
2011.0,Missouri,2.8,13.8,21.9,22.4
2011.0,Montana,1.9,9.3,19.9,17.7
2011.0,Nebraska,2.1,11.5,20.1,17.6
2011.0,Nevada,3.6,14.7,24.4,19.0
2011.0,New Hampshire,2.3,11.0,18.5,20.6
2011.0,New Jersey,2.5,11.0,21.7,19.0
2011.0,New Mexico,3.2,13.9,21.3,19.6
2011.0,New York,3.0,14.0,24.3,21.6
2011.0,North Carolina,3.1,15.3,23.8,22.5
2011.0,North Dakota,1.6,11.7,21.1,17.3
2011.0,Ohio,2.9,13.4,21.5,20.0
2011.0,Oklahoma,4.3,15.0,22.3,21.5
2011.0,Oregon,2.4,13.0,20.1,17.8
2011.0,Pennsylvania,2.4,11.3,24.7,18.6
2011.0,Rhode Island,2.7,10.5,20.3,16.8
2011.0,South Carolina,4.8,15.2,26.8,21.3
2011.0,South Dakota,3.3,11.2,21.7,20.0
2011.0,Tennessee,3.0,13.9,27.8,25.7
2011.0,Texas,3.2,16.4,22.7,20.1
2011.0,Utah,2.1,10.3,18.1,19.5
2011.0,Vermont,2.1,9.8,16.8,15.5
2011.0,Virginia,3.2,14.8,23.9,20.0
2011.0,Washington,2.9,12.3,19.1,19.3
2011.0,West Virginia,3.6,17.2,22.1,19.7
2011.0,Wisconsin,2.0,11.4,18.6,18.6
2011.0,Wyoming,2.6,11.1,19.4,16.3
2011.0,Guam,3.3,16.7,29.9,23.2
2011.0,Puerto Rico,3.5,19.3,34.5,31.4
2012.0,Virgin Islands of the U.S.,,,,
2012.0,Alabama,3.5,16.9,25.2,24.1
2012.0,Alaska,2.7,9.1,18.1,17.9
2012.0,Arizona,4.8,15.2,17.8,17.9
2012.0,Arkansas,4.0,15.5,21.6,19.2
2012.0,California,3.6,13.9,20.9,20.1
2012.0,Colorado,2.6,9.9,17.0,16.3
2012.0,Connecticut,3.0,11.4,20.7,16.3
2012.0,Delaware,3.0,12.5,18.9,21.1
2012.0,District of Columbia,2.1,14.2,17.6,25.2
2012.0,Florida,3.3,15.0,20.3,22.3
2012.0,Georgia,2.7,13.7,27.0,21.3
2012.0,Hawaii,2.3,10.9,14.1,15.5
2012.0,Idaho,2.3,11.1,19.8,18.9
2012.0,Illinois,3.0,12.4,21.8,19.6
2012.0,Indiana,3.2,15.0,23.7,21.6
2012.0,Iowa,3.1,11.9,21.5,18.7
2012.0,Kansas,3.1,12.2,20.8,19.9
2012.0,Kentucky,3.2,14.5,21.6,21.9
2012.0,Louisiana,3.9,17.6,26.6,21.9
2012.0,Maine,3.0,10.9,19.4,20.4
2012.0,Maryland,2.4,14.0,23.9,22.2
2012.0,Massachusetts,2.8,10.0,19.9,17.9
2012.0,Michigan,3.3,13.4,23.6,18.7
2012.0,Minnesota,2.3,8.8,16.6,18.3
2012.0,Mississippi,4.6,16.9,27.4,21.7
2012.0,Missouri,2.7,14.4,23.2,22.3
2012.0,Montana,1.4,9.5,14.1,16.9
2012.0,Nebraska,2.5,10.8,17.8,16.1
2012.0,Nevada,3.0,11.8,20.2,19.0
2012.0,New Hampshire,1.4,11.5,23.0,19.0
2012.0,New Jersey,2.5,11.1,22.1,22.4
2012.0,New Mexico,3.2,14.7,19.1,20.1
2012.0,New York,2.7,12.0,22.7,24.3
2012.0,North Carolina,3.4,14.0,23.3,20.1
2012.0,North Dakota,2.0,10.4,20.9,22.0
2012.0,Ohio,3.8,14.9,24.3,22.3
2012.0,Oklahoma,3.6,15.7,24.1,22.8
2012.0,Oregon,3.5,13.6,19.6,17.5
2012.0,Pennsylvania,2.6,12.8,22.0,20.9
2012.0,Rhode Island,3.4,12.6,21.8,16.2
2012.0,South Carolina,3.5,15.7,23.9,22.6
2012.0,South Dakota,2.5,9.5,20.0,13.8
2012.0,Tennessee,3.6,16.5,25.4,22.0
2012.0,Texas,3.5,15.2,26.3,22.8
2012.0,Utah,2.5,10.7,19.2,19.8
2012.0,Vermont,2.4,7.6,15.5,18.4
2012.0,Virginia,2.9,14.7,25.5,20.0
2012.0,Washington,2.8,11.3,20.0,19.5
2012.0,West Virginia,3.6,16.7,26.4,22.9
2012.0,Wisconsin,2.4,10.4,17.5,19.3
2012.0,Wyoming,3.1,12.1,17.8,19.3
2012.0,Guam,4.4,14.9,28.2,
2012.0,Puerto Rico,3.6,24.6,35.0,35.0
2013.0,Virgin Islands of the U.S.,,,,
2013.0,Alabama,5.0,18.3,26.4,26.6
2013.0,Alaska,1.8,10.2,18.2,20.5
2013.0,Arizona,2.7,16.2,21.8,18.8
2013.0,Arkansas,4.2,16.0,21.4,19.4
2013.0,California,2.9,15.0,21.8,23.2
2013.0,Colorado,2.0,7.9,17.6,15.7
2013.0,Connecticut,2.3,9.5,19.9,18.7
2013.0,Delaware,3.5,14.3,22.8,21.1
2013.0,District of Columbia,2.0,13.3,17.7,22.4
2013.0,Florida,2.6,13.4,23.5,23.3
2013.0,Georgia,3.5,15.8,23.8,21.8
2013.0,Hawaii,2.5,10.5,20.3,15.2
2013.0,Idaho,2.8,10.6,19.7,17.6
2013.0,Illinois,2.5,12.5,24.7,24.2
2013.0,Indiana,2.7,15.0,26.0,22.0
2013.0,Iowa,2.5,10.7,24.4,19.2
2013.0,Kansas,2.8,12.9,20.7,19.5
2013.0,Kentucky,3.5,13.1,24.2,21.7
2013.0,Louisiana,3.4,16.1,28.2,21.0
2013.0,Maine,2.8,11.1,18.5,20.6
2013.0,Maryland,3.2,12.1,22.4,23.1
2013.0,Massachusetts,2.4,11.0,18.3,18.9
2013.0,Michigan,3.1,13.0,21.6,22.4
2013.0,Minnesota,1.8,9.1,16.6,20.5
2013.0,Mississippi,4.8,17.2,26.0,24.6
2013.0,Missouri,3.3,12.4,19.5,18.4
2013.0,Montana,2.3,8.9,17.0,16.2
2013.0,Nebraska,2.6,11.8,20.8,20.4
2013.0,Nevada,2.9,13.7,19.4,20.5
2013.0,New Hampshire,2.6,10.8,19.0,21.8
2013.0,New Jersey,2.1,11.6,22.5,19.9
2013.0,New Mexico,3.3,14.8,23.0,18.9
2013.0,New York,2.6,15.2,24.4,19.2
2013.0,North Carolina,3.3,15.2,23.9,25.6
2013.0,North Dakota,2.2,12.2,21.3,17.6
2013.0,Ohio,2.8,12.1,24.6,23.4
2013.0,Oklahoma,3.5,15.2,23.0,21.6
2013.0,Oregon,2.5,13.0,16.3,20.0
2013.0,Pennsylvania,2.4,13.0,22.5,19.1
2013.0,Rhode Island,2.7,12.0,19.9,18.8
2013.0,South Carolina,3.4,16.3,27.1,27.0
2013.0,South Dakota,2.7,11.2,21.1,18.5
2013.0,Tennessee,4.1,17.3,23.5,20.7
2013.0,Texas,3.6,15.9,24.6,25.4
2013.0,Utah,1.9,10.8,21.6,19.7
2013.0,Vermont,1.9,9.0,19.2,15.3
2013.0,Virginia,3.0,13.6,22.5,18.5
2013.0,Washington,2.5,10.5,21.5,20.4
2013.0,West Virginia,3.8,16.5,27.0,22.4
2013.0,Wisconsin,1.9,9.9,20.3,19.5
2013.0,Wyoming,3.4,9.8,20.8,17.9
2013.0,Guam,5.4,23.9,29.2,
2013.0,Puerto Rico,4.2,18.3,37.2,33.3
2014.0,Virgin Islands of the U.S.,,,,
2014.0,Alabama,4.8,17.8,24.3,21.0
2014.0,Alaska,1.8,10.3,21.3,21.0
2014.0,Arizona,2.8,14.0,21.8,18.7
2014.0,Arkansas,3.9,17.9,24.7,22.8
2014.0,California,2.9,15.4,21.5,22.5
2014.0,Colorado,2.2,9.9,16.3,17.0
2014.0,Connecticut,2.1,11.5,20.9,20.0
2014.0,Delaware,3.5,13.3,25.8,20.5
2014.0,District of Columbia,1.8,14.9,19.8,24.5
2014.0,Florida,2.9,13.9,22.7,20.9
2014.0,Georgia,2.8,17.3,26.7,24.6
2014.0,Hawaii,3.7,12.8,18.4,18.4
2014.0,Idaho,2.0,10.0,16.9,18.4
2014.0,Illinois,2.4,13.6,23.5,23.8
2014.0,Indiana,3.1,14.3,22.3,23.0
2014.0,Iowa,2.6,11.6,22.1,19.0
2014.0,Kansas,3.0,13.8,22.3,21.8
2014.0,Kentucky,4.5,16.2,25.6,22.9
2014.0,Louisiana,3.0,15.3,27.1,23.0
2014.0,Maine,2.3,11.6,19.3,17.2
2014.0,Maryland,2.5,13.2,24.4,21.1
2014.0,Massachusetts,3.4,11.7,22.4,19.0
2014.0,Michigan,2.0,13.1,25.1,21.8
2014.0,Minnesota,2.4,9.2,18.3,22.7
2014.0,Mississippi,3.9,17.9,27.7,25.2
2014.0,Missouri,3.7,13.8,23.6,22.4
2014.0,Montana,2.5,11.1,16.6,18.5
