Year,State,18-44 percentage,45-64 percentage,65-74 percentage,75+ percentage
2014.0,Nebraska,2.6,12.7,20.0,17.4
2014.0,Nevada,2.4,11.9,24.4,22.8
2014.0,New Hampshire,2.3,11.2,19.5,19.5
2014.0,New Jersey,2.6,10.9,24.2,22.7
2014.0,New Mexico,3.4,15.3,24.8,22.9
2014.0,New York,2.7,13.1,21.8,23.8
2014.0,North Carolina,3.2,15.1,22.0,20.8
2014.0,North Dakota,2.6,11.3,20.4,17.4
2014.0,Ohio,3.0,15.5,25.1,22.7
2014.0,Oklahoma,2.7,18.1,25.4,22.3
2014.0,Oregon,2.6,10.4,20.4,21.0
2014.0,Pennsylvania,2.6,14.6,23.5,22.2
2014.0,Rhode Island,2.0,12.2,21.8,20.4
2014.0,South Carolina,3.6,16.1,24.8,22.3
2014.0,South Dakota,3.0,11.4,19.0,19.4
2014.0,Tennessee,4.1,17.9,27.1,21.6
2014.0,Texas,3.2,16.3,27.0,22.5
2014.0,Utah,2.3,10.5,19.3,19.7
2014.0,Vermont,3.1,8.3,15.8,17.7
2014.0,Virginia,2.3,12.6,24.3,22.5
2014.0,Washington,2.5,12.3,18.9,18.2
2014.0,West Virginia,4.2,18.0,28.3,23.5
2014.0,Wisconsin,2.3,11.0,19.3,21.2
2014.0,Wyoming,3.1,10.3,17.7,18.2
2014.0,Guam,4.4,17.9,25.9,22.2
2014.0,Puerto Rico,3.5,20.4,35.7,38.0
2015.0,Virgin Islands of the U.S.,,,,
2015.0,Alabama,4.1,17.8,28.3,25.2
2015.0,Alaska,1.7,11.6,19.8,20.7
2015.0,Arizona,2.7,13.9,20.0,21.5
2015.0,Arkansas,2.9,19.1,23.9,22.8
2015.0,California,2.8,13.7,24.0,23.0
2015.0,Colorado,2.0,8.5,17.3,15.8
2015.0,Connecticut,2.6,11.4,20.0,18.7
2015.0,Delaware,2.2,16.8,22.7,20.3
2015.0,District of Columbia,2.2,14.9,19.2,23.3
2015.0,Florida,2.3,14.1,22.6,23.4
2015.0,Georgia,2.2,17.2,25.2,26.1
2015.0,Hawaii,2.9,11.6,15.4,17.1
2015.0,Idaho,2.0,10.1,20.1,18.3
2015.0,Illinois,2.5,12.2,28.1,19.9
2015.0,Indiana,4.2,15.9,22.7,18.3
2015.0,Iowa,1.8,11.7,20.7,17.0
2015.0,Kansas,2.7,12.4,23.5,19.5
2015.0,Kentucky,4.4,18.3,27.5,22.0
2015.0,Louisiana,3.7,16.3,29.8,28.1
2015.0,Maine,3.0,10.7,19.4,20.3
2015.0,Maryland,2.6,13.8,22.0,23.5
2015.0,Massachusetts,2.2,11.1,18.5,22.8
2015.0,Michigan,3.6,12.9,22.8,21.2
2015.0,Minnesota,2.1,9.1,17.0,18.4
2015.0,Mississippi,5.4,19.4,32.0,25.2
2015.0,Missouri,3.5,14.9,23.5,22.4
2015.0,Montana,2.1,9.8,17.1,14.5
2015.0,Nebraska,2.3,11.3,19.7,20.2
2015.0,Nevada,3.3,11.8,21.2,23.2
2015.0,New Hampshire,1.5,9.4,20.1,17.0
2015.0,New Jersey,1.7,10.6,23.6,20.9
2015.0,New Mexico,4.0,15.1,22.3,22.6
2015.0,New York,2.6,13.2,22.5,19.3
2015.0,North Carolina,2.4,14.3,24.0,22.8
2015.0,North Dakota,2.1,11.4,21.2,20.9
2015.0,Ohio,2.0,15.1,23.7,22.8
2015.0,Oklahoma,3.0,17.5,24.3,20.5
2015.0,Oregon,3.2,13.9,21.2,22.0
2015.0,Pennsylvania,2.1,12.3,25.3,21.1
2015.0,Rhode Island,1.9,11.7,20.4,19.3
2015.0,South Carolina,3.2,14.8,25.4,25.6
2015.0,South Dakota,2.9,11.6,17.6,21.8
2015.0,Tennessee,4.4,17.1,23.5,23.5
2015.0,Texas,3.1,17.8,25.9,23.3
2015.0,Utah,1.8,10.1,21.1,20.7
2015.0,Vermont,2.5,9.4,16.2,18.7
2015.0,Virginia,3.1,12.8,25.0,23.6
2015.0,Washington,2.2,10.7,20.1,18.7
2015.0,West Virginia,4.9,18.4,25.0,26.7
2015.0,Wisconsin,2.4,10.3,18.8,17.2
2015.0,Wyoming,1.6,11.5,20.1,18.3
2015.0,Guam,3.6,19.6,30.7,
2015.0,Puerto Rico,3.6,22.1,36.1,37.3
2016.0,Alabama,5.3,19.8,26.5,25.9
2016.0,Alaska,2.7,8.5,21.9,21.9
2016.0,Arizona,2.7,16.0,21.5,19.7
2016.0,Arkansas,4.5,18.3,26.5,23.0
2016.0,California,2.5,14.0,22.8,26.1
2016.0,Colorado,1.5,9.2,16.0,15.3
2016.0,Connecticut,2.3,12.2,21.9,20.0
2016.0,Delaware,2.3,13.6,23.3,21.1
2016.0,District of Columbia,1.6,13.8,20.9,18.9
2016.0,Florida,3.4,13.4,24.2,22.5
2016.0,Georgia,3.1,17.1,26.7,27.9
2016.0,Hawaii,3.4,14.4,19.5,20.5
2016.0,Idaho,2.0,11.3,21.2,21.5
2016.0,Illinois,2.6,14.3,20.4,25.5
2016.0,Indiana,3.4,15.4,24.9,22.2
2016.0,Iowa,2.1,11.2,22.4,20.0
2016.0,Kansas,2.2,12.2,22.3,21.1
2016.0,Kentucky,4.8,16.4,27.0,23.3
2016.0,Louisiana,2.3,17.0,28.2,28.4
2016.0,Maine,2.1,12.9,19.8,21.4
2016.0,Maryland,3.2,13.6,24.8,22.0
2016.0,Massachusetts,2.4,11.3,21.9,20.2
2016.0,Michigan,3.1,14.5,22.9,21.1
2016.0,Minnesota,2.1,10.6,19.2,19.4
2016.0,Mississippi,4.5,18.5,27.7,24.7
2016.0,Missouri,3.6,14.1,25.1,23.6
2016.0,Montana,1.6,10.5,16.5,17.4
2016.0,Nebraska,2.5,11.5,19.2,19.0
2016.0,Nevada,3.1,14.3,24.2,25.3
2016.0,New Hampshire,2.4,10.0,18.8,21.8
2016.0,New Jersey,2.0,11.3,23.3,19.1
2016.0,New Mexico,3.6,15.5,25.3,19.2
2016.0,New York,2.5,13.8,23.7,22.7
2016.0,North Carolina,2.8,15.6,24.1,21.4
2016.0,North Dakota,2.9,11.4,19.2,18.3
2016.0,Ohio,2.7,14.6,24.0,21.2
2016.0,Oklahoma,3.5,17.2,24.4,21.3
2016.0,Oregon,3.0,11.6,20.9,18.1
2016.0,Pennsylvania,2.8,13.4,26.7,21.3
2016.0,Rhode Island,2.3,13.7,20.4,18.1
2016.0,South Carolina,3.6,17.1,26.0,26.4
2016.0,South Dakota,1.1,11.2,18.2,16.0
2016.0,Tennessee,3.0,18.7,26.5,20.3
2016.0,Texas,2.8,17.0,27.3,23.2
2016.0,Utah,1.9,10.6,21.2,19.5
2016.0,Vermont,3.1,8.7,16.7,19.2
2016.0,Virginia,2.6,13.7,24.2,24.0
2016.0,Washington,2.6,12.7,19.3,21.1
2016.0,West Virginia,4.5,19.7,28.5,23.1
2016.0,Wisconsin,2.5,12.6,20.1,20.6
2016.0,Wyoming,2.2,10.8,17.3,20.6
2016.0,Guam,4.0,14.7,32.6,
2016.0,Puerto Rico,3.5,20.3,34.4,33.5
2016.0,Virgin Islands of the U.S.,,14.8,24.7,38.8
2017.0,Virgin Islands of the U.S.,,,,
2017.0,Alabama,4.2,19.3,28.2,24.6
2017.0,Alaska,2.5,10.1,17.3,21.3
2017.0,Arizona,2.9,15.0,20.5,18.7
2017.0,Arkansas,3.7,16.5,26.2,19.6
2017.0,California,2.5,14.8,24.0,23.9
2017.0,Colorado,2.1,10.2,15.6,18.0
2017.0,Connecticut,2.6,12.1,20.2,20.6
2017.0,Delaware,2.7,13.9,23.7,23.0
2017.0,District of Columbia,2.1,12.4,15.5,24.6
2017.0,Florida,2.0,13.3,20.5,21.3
2017.0,Georgia,3.1,16.0,24.4,24.6
2017.0,Hawaii,3.4,14.6,19.8,23.2
2017.0,Idaho,2.2,11.6,17.3,21.6
2017.0,Illinois,3.8,14.7,22.0,20.9
2017.0,Indiana,3.2,16.0,25.0,23.4
2017.0,Iowa,2.2,12.0,19.7,22.5
2017.0,Kansas,2.9,14.1,22.1,22.5
2017.0,Kentucky,3.1,17.1,27.4,25.9
2017.0,Louisiana,4.7,19.0,27.4,23.7
2017.0,Maine,2.9,13.1,19.0,19.5
2017.0,Maryland,3.2,13.6,21.4,21.8
2017.0,Massachusetts,2.1,12.8,20.4,19.8
2017.0,Michigan,2.2,14.3,22.7,25.3
2017.0,Minnesota,2.2,9.4,17.5,17.1
2017.0,Mississippi,4.2,19.9,28.3,26.5
2017.0,Missouri,2.3,14.2,23.1,19.5
2017.0,Montana,1.9,10.4,14.8,16.1
2017.0,Nebraska,3.1,13.4,21.9,19.9
2017.0,Nevada,2.0,15.4,21.1,22.9
2017.0,New Hampshire,2.3,9.0,19.4,17.8
2017.0,New Jersey,3.4,13.8,23.4,22.0
2017.0,New Mexico,3.9,13.9,19.1,21.7
2017.0,New York,2.5,13.7,23.1,23.8
2017.0,North Carolina,3.7,14.7,21.6,24.5
2017.0,North Dakota,2.6,12.3,20.9,19.1
2017.0,Ohio,3.3,14.2,23.9,21.5
2017.0,Oklahoma,4.1,18.0,25.3,23.1
2017.0,Oregon,2.3,12.9,20.2,18.0
2017.0,Pennsylvania,2.5,13.4,22.4,20.3
2017.0,Rhode Island,2.5,11.3,19.6,17.1
2017.0,South Carolina,4.2,17.8,26.5,23.5
2017.0,South Dakota,4.5,11.1,22.9,27.0
2017.0,Tennessee,3.8,17.3,26.0,26.2
2017.0,Texas,3.1,17.5,25.9,30.5
2017.0,Utah,1.7,10.4,21.1,19.9
2017.0,Vermont,1.8,9.4,16.7,19.4
2017.0,Virginia,2.9,15.1,21.6,19.7
2017.0,Washington,3.1,12.4,18.5,17.1
2017.0,West Virginia,4.1,20.6,27.4,25.1
2017.0,Wisconsin,3.5,10.4,20.2,16.3
2017.0,Wyoming,2.3,12.8,19.3,16.4
2017.0,Guam,4.7,23.3,33.3,
2017.0,Puerto Rico,3.4,23.1,39.2,33.7
2018.0,Virgin Islands of the U.S.,,,,
2018.0,Alabama,3.8,19.2,29.5,28.6
2018.0,Alaska,3.5,12.8,17.3,18.3
2018.0,Arizona,3.5,13.6,22.9,19.3
2018.0,Arkansas,4.8,18.7,28.6,20.9
2018.0,California,2.6,14.4,24.9,22.3
2018.0,Colorado,2.1,9.1,16.3,16.2
2018.0,Connecticut,2.5,12.0,18.9,21.7
2018.0,Delaware,2.6,16.8,22.5,21.0
2018.0,District of Columbia,2.1,15.3,19.9,21.3
2018.0,Florida,4.0,14.8,25.4,20.9
2018.0,Georgia,3.2,16.8,29.9,27.8
2018.0,Hawaii,3.8,15.7,21.3,20.3
2018.0,Idaho,3.0,12.8,21.9,21.7
2018.0,Illinois,2.5,13.4,23.8,19.1
2018.0,Indiana,3.8,16.2,27.3,23.6
2018.0,Iowa,3.1,11.7,21.1,21.6
2018.0,Kansas,3.7,14.4,26.3,22.3
2018.0,Kentucky,3.7,18.1,27.9,27.1
2018.0,Louisiana,3.5,21.5,26.8,27.5
2018.0,Maine,3.2,11.8,18.8,22.0
2018.0,Maryland,3.4,16.6,23.0,24.1
2018.0,Massachusetts,2.8,9.9,19.0,19.0
2018.0,Michigan,3.1,15.1,22.1,24.9
2018.0,Minnesota,2.4,11.2,19.2,19.7
2018.0,Mississippi,4.8,17.1,32.8,28.7
2018.0,Missouri,3.6,14.6,23.9,21.9
2018.0,Montana,2.7,11.5,16.4,21.2
2018.0,Nebraska,2.9,12.7,18.6,22.4
2018.0,Nevada,2.3,13.7,24.3,26.3
2018.0,New Hampshire,2.3,13.8,18.2,20.8
2018.0,New Jersey,3.3,11.2,27.4,23.1
2018.0,New Mexico,4.3,16.4,23.3,24.1
2018.0,New York,2.9,13.9,24.9,23.1
2018.0,North Carolina,2.9,17.0,27.5,23.1
2018.0,North Dakota,2.6,11.9,22.8,21.7
2018.0,Ohio,3.6,15.2,24.6,25.0
2018.0,Oklahoma,3.6,17.0,25.5,25.7
2018.0,Oregon,5.0,13.7,18.2,19.7
2018.0,Pennsylvania,4.2,13.4,21.0,21.8
2018.0,Rhode Island,2.4,14.7,22.9,21.3
2018.0,South Carolina,3.9,17.4,26.1,24.6
2018.0,South Dakota,3.2,10.0,21.7,19.1
2018.0,Tennessee,3.9,18.0,28.7,27.0
2018.0,Texas,2.8,18.7,31.9,25.7
2018.0,Utah,2.3,13.2,21.8,19.5
2018.0,Vermont,2.1,11.5,18.3,17.6
2018.0,Virginia,2.9,13.4,23.6,22.9
2018.0,Washington,2.6,13.8,20.2,20.8
2018.0,West Virginia,4.0,22.5,29.6,24.4
2018.0,Wisconsin,1.6,10.9,18.3,20.6
2018.0,Wyoming,2.6,12.0,17.3,16.9
2018.0,Guam,4.9,23.7,31.2,35.7
2018.0,Puerto Rico,3.0,18.8,37.3,31.7
2019.0,New Jersey,,,,
2019.0,Virgin Islands of the U.S.,,,,
2019.0,Alabama,3.3,20.1,26.4,25.0
2019.0,Alaska,2.0,10.8,15.7,17.8
2019.0,Arizona,3.2,15.1,19.8,21.8
2019.0,Arkansas,3.9,19.0,25.7,24.7
2019.0,California,2.6,13.9,23.6,21.7
2019.0,Colorado,2.2,9.2,15.1,16.2
2019.0,Connecticut,2.7,11.9,18.6,19.5
2019.0,Delaware,3.8,15.5,25.0,24.5
2019.0,District of Columbia,2.0,15.1,23.3,22.1
2019.0,Florida,2.3,14.0,22.5,24.8
2019.0,Georgia,4.0,16.2,23.4,26.3
2019.0,Hawaii,3.4,13.9,20.7,17.7
2019.0,Idaho,3.1,12.5,20.9,24.9
2019.0,Illinois,2.4,15.4,27.2,20.3
2019.0,Indiana,3.8,15.7,26.3,25.1
2019.0,Iowa,2.9,13.4,20.1,20.9
2019.0,Kansas,3.1,14.1,21.9,23.9
2019.0,Kentucky,3.2,18.7,26.1,25.3
2019.0,Louisiana,2.8,17.5,28.3,25.5
2019.0,Maine,3.3,12.3,19.7,17.8
2019.0,Maryland,2.8,14.7,22.3,23.4
2019.0,Massachusetts,2.2,10.2,18.1,19.0
2019.0,Michigan,2.7,13.8,23.7,22.2
2019.0,Minnesota,2.6,10.4,19.3,20.3
2019.0,Mississippi,3.8,20.5,30.8,29.1
2019.0,Missouri,2.6,13.1,21.5,22.1
2019.0,Montana,1.4,10.3,14.9,14.9
2019.0,Nebraska,2.6,13.8,21.7,20.7
2019.0,Nevada,4.1,13.7,21.9,21.3
2019.0,New Hampshire,3.7,10.2,16.9,18.1
2019.0,New Mexico,4.3,15.9,22.2,23.9
2019.0,New York,2.7,13.8,22.9,21.4
2019.0,North Carolina,3.6,15.2,23.7,24.2
2019.0,North Dakota,1.8,12.8,21.9,18.1
2019.0,Ohio,2.9,15.4,25.4,22.8
2019.0,Oklahoma,2.7,18.1,25.5,23.4
2019.0,Oregon,2.3,11.2,17.5,17.1
2019.0,Pennsylvania,2.9,13.1,21.0,22.7
2019.0,Rhode Island,2.4,13.9,21.0,21.9
2019.0,South Carolina,3.5,17.5,25.5,27.0
2019.0,South Dakota,2.9,13.1,22.4,22.8
2019.0,Tennessee,3.0,19.5,26.3,28.7
2019.0,Texas,3.6,17.8,27.7,25.2
2019.0,Utah,3.0,11.3,19.6,19.8
2019.0,Vermont,2.9,9.9,15.1,19.5
2019.0,Virginia,3.0,14.1,23.5,23.6
2019.0,Washington,2.8,12.5,18.9,20.4
2019.0,West Virginia,4.7,18.8,30.4,26.6
2019.0,Wisconsin,1.9,11.5,18.9,15.6
2019.0,Wyoming,1.8,8.5,18.1,21.1
2019.0,Guam,4.1,19.3,25.2,
2019.0,Puerto Rico,4.0,21.0,33.5,37.5
2020.0,Virgin Islands of the U.S.,,,,
2020.0,Alabama,4.2,20.2,28.8,25.8
2020.0,Alaska,1.7,10.4,19.5,20.4
2020.0,Arizona,3.4,14.4,22.2,20.2
2020.0,Arkansas,3.7,19.3,22.9,24.3
2020.0,California,3.2,14.0,19.1,20.0
2020.0,Colorado,2.1,9.7,16.0,20.4
2020.0,Connecticut,3.3,10.4,19.3,19.5
2020.0,Delaware,3.7,15.2,23.5,23.3
2020.0,District of Columbia,1.2,14.4,19.4,19.9
2020.0,Florida,2.7,13.3,24.6,23.0
2020.0,Georgia,3.1,15.6,23.8,28.2
2020.0,Hawaii,3.2,13.7,19.4,24.2
2020.0,Idaho,3.0,10.5,18.5,18.7
2020.0,Illinois,2.0,14.8,23.3,21.7
2020.0,Indiana,3.4,15.7,24.0,22.7
2020.0,Iowa,2.8,13.9,19.3,19.8
2020.0,Kansas,3.2,14.7,21.6,24.1
2020.0,Kentucky,3.7,17.9,25.5,22.4
2020.0,Louisiana,4.2,17.4,30.7,30.7
2020.0,Maine,2.4,12.7,17.1,20.9
2020.0,Maryland,3.2,12.7,20.5,22.0
2020.0,Massachusetts,2.3,11.2,18.9,17.2
2020.0,Michigan,3.2,16.2,23.5,23.9
2020.0,Minnesota,2.8,10.1,18.4,20.9
2020.0,Mississippi,5.0,19.6,31.3,21.6
2020.0,Missouri,3.1,13.4,23.5,20.2
2020.0,Montana,2.7,11.4,16.1,18.3
2020.0,Nebraska,3.1,12.6,20.4,20.8
2020.0,Nevada,3.6,13.2,29.0,15.7
2020.0,New Hampshire,2.5,10.9,15.8,18.0
2020.0,New Jersey,2.6,12.1,20.1,23.1
2020.0,New Mexico,4.5,15.4,23.8,23.4
2020.0,New York,2.8,13.1,20.9,22.7
2020.0,North Carolina,4.1,15.6,24.1,25.0
2020.0,North Dakota,3.2,14.5,19.7,18.6
2020.0,Ohio,4.6,15.3,23.2,22.4
2020.0,Oklahoma,4.3,18.0,23.2,26.3
2020.0,Oregon,3.7,10.2,18.4,21.8
2020.0,Pennsylvania,3.4,13.4,21.1,24.9
2020.0,Rhode Island,3.1,12.1,20.8,23.6
2020.0,South Carolina,4.1,19.1,22.9,24.0
2020.0,South Dakota,2.6,8.3,16.0,20.3
2020.0,Tennessee,4.7,18.2,26.7,27.4
2020.0,Texas,3.3,18.9,26.8,27.6
2020.0,Utah,1.9,12.7,22.2,21.8
2020.0,Vermont,2.6,9.5,13.3,16.0
2020.0,Virginia,2.4,14.9,24.1,23.5
2020.0,Washington,2.5,11.8,17.1,18.5
2020.0,West Virginia,4.7,19.6,27.3,28.1
2020.0,Wisconsin,2.1,10.7,18.5,20.2
2020.0,Wyoming,2.2,11.0,16.3,20.2
2020.0,Guam,5.8,25.4,22.9,
2020.0,Puerto Rico,2.9,17.6,38.8,36.9
2021.0,Florida,,,,
2021.0,Alabama,5.0,20.8,27.5,24.0
2021.0,Alaska,2.4,12.9,17.3,16.5
2021.0,Arizona,2.9,15.0,21.1,22.0
2021.0,Arkansas,3.3,16.2,25.2,24.3
2021.0,California,3.8,16.0,21.3,26.6
2021.0,Colorado,1.8,9.3,16.4,15.3
2021.0,Connecticut,2.9,14.4,18.9,21.8
2021.0,Delaware,3.1,14.3,20.9,27.4
2021.0,District of Columbia,2.6,12.2,18.0,20.3
2021.0,Georgia,3.9,16.1,25.5,26.3
2021.0,Hawaii,2.5,12.2,18.5,18.6
2021.0,Idaho,3.2,12.6,19.0,19.9
2021.0,Illinois,2.9,15.6,19.1,21.9
2021.0,Indiana,3.3,16.7,24.4,22.5
2021.0,Iowa,3.1,12.5,17.7,20.0
2021.0,Kansas,3.5,15.2,20.2,22.1
2021.0,Kentucky,4.9,19.8,24.3,20.3
2021.0,Louisiana,4.9,18.3,24.9,26.4
2021.0,Maine,2.2,12.2,20.4,18.6
2021.0,Maryland,3.0,14.8,22.3,21.5
2021.0,Massachusetts,2.4,11.2,19.3,17.4
2021.0,Michigan,3.0,14.2,19.8,21.2
2021.0,Minnesota,2.7,10.5,19.8,19.3
2021.0,Mississippi,5.5,19.6,27.7,30.4
2021.0,Missouri,3.0,16.6,20.4,19.2
2021.0,Montana,3.2,10.1,16.8,17.1
2021.0,Nebraska,2.6,13.1,20.3,18.8
2021.0,Nevada,3.1,14.4,24.9,25.3
2021.0,New Hampshire,2.5,10.4,16.5,16.8
2021.0,New Jersey,2.4,12.5,22.8,21.1
2021.0,New Mexico,4.6,19.1,21.0,22.6
2021.0,New York,2.8,16.4,20.7,22.6
2021.0,North Carolina,2.8,16.8,25.0,28.7
2021.0,North Dakota,3.0,12.5,19.9,21.3
2021.0,Ohio,3.7,15.9,25.1,23.4
2021.0,Oklahoma,3.3,18.7,24.7,25.8
2021.0,Oregon,3.1,11.1,16.9,23.9
2021.0,Pennsylvania,3.4,13.2,20.0,23.6
2021.0,Rhode Island,3.5,12.8,21.2,19.4
2021.0,South Carolina,4.6,17.3,25.2,25.3
2021.0,South Dakota,2.6,16.0,16.4,24.8
2021.0,Tennessee,3.3,19.5,27.4,27.4
2021.0,Texas,4.6,14.1,25.1,26.4
2021.0,Utah,2.4,12.2,18.9,19.3
2021.0,Vermont,2.3,10.7,15.9,14.9
2021.0,Virginia,2.8,15.9,23.2,23.0
2021.0,Washington,2.4,11.8,17.6,18.7
2021.0,West Virginia,4.7,19.9,28.2,26.9
2021.0,Wisconsin,2.8,11.8,17.0,17.3
2021.0,Wyoming,2.3,10.8,18.6,18.5
2021.0,Guam,3.3,22.3,22.6,
2021.0,Puerto Rico,3.4,22.1,33.5,36.9
2021.0,Virgin Islands of the U.S.,,,,
,,,,,
