Year,Gender,State,Percentage,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,State,Percentage,Year,Gender,State,Percentage,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage
2000,Female,Median of States,5.7,Median of States,6.4,2001,Female,Median of States,6,2001,Male,Median of States,6.4,2002,Female,Median of States,6.2,2002,Male,Median of States,7.2,Median of States,6.5,2003,Male,Median of States,7.5,2004,Female,Median of States,6.2,2004,Male,Median of States,7.4,2005,Female,Median of States,6.8,2005,Male,Median of States,7.9,2006,Female,Median of States,6.6,2006,Male,Median of States,8.4,2007,Female,Median of States,7.5,2007,Male,Median of States,8.2,2008,Female,Median of States,7.4,2008,Male,Median of States,8.7,2009,Female,Median of States,7.7,2009,Male,Median of States,8.7,2010,Female,Median of States,7.6,2010,Male,Median of States,9,2011,Female,Median of States,8.3,2011,Male,Median of States,9.7,Median of States,8.3,2012,Male,Median of States,9.7,Median of States,8.5,2013,Male,Median of States,9.6,2014,Female,Median of States,8.6,2014,Male,Median of States,9.9,Median of States,8.6,2015,Male,Median of States,9.7,2016,Female,Median of States,8.8,2016,Male,Median of States,10.2,2017,Female,Median of States,8.8,2017,Male,Median of States,10,2018,Female,Median of States,9.3,2018,Male,Median of States,10.2,2019,Female,Median of States,9.1,2019,Male,Median of States,10.2,2020,Female,Median of States,8.6,2020,Male,Median of States,10.3,2021,Female,Median of States,8.9,2021,Male,Median of States,10.6
2000,Female,Alabama,6.9,Alabama,7.9,2001,Female,Alabama,8.3,2001,Male,Alabama,7.9,2002,Female,Alabama,8.8,2002,Male,Alabama,8.1,Alabama,8.5,2003,Male,Alabama,8.7,2004,Female,Alabama,8.5,2004,Male,Alabama,7.3,2005,Female,Alabama,8.8,2005,Male,Alabama,10,2006,Female,Alabama,8.6,2006,Male,Alabama,10.7,2007,Female,Alabama,9.7,2007,Male,Alabama,10,2008,Female,Alabama,10,2008,Male,Alabama,11.3,2009,Female,Alabama,10.2,2009,Male,Alabama,11.8,2010,Female,Alabama,11.9,2010,Male,Alabama,10.8,2011,Female,Alabama,11.5,2011,Male,Alabama,10.5,Alabama,10.6,2012,Male,Alabama,11.8,Alabama,12.6,2013,Male,Alabama,12.9,2014,Female,Alabama,11.5,2014,Male,Alabama,12,Alabama,12.4,2015,Male,Alabama,11.8,2016,Female,Alabama,12.9,2016,Male,Alabama,13.6,2017,Female,Alabama,12.6,2017,Male,Alabama,12.6,2018,Female,Alabama,12.8,2018,Male,Alabama,12.7,2019,Female,Alabama,11.8,2019,Male,Alabama,12.7,2020,Female,Alabama,12.1,2020,Male,Alabama,14,2021,Female,Alabama,13.5,2021,Male,Alabama,13
2000,Female,Alaska,4.5,Alaska,4,2001,Female,Alaska,5.1,2001,Male,Alaska,4,2002,Female,Alaska,5.8,2002,Male,Alaska,3.5,Alaska,6.3,2003,Male,Alaska,5.3,2004,Female,Alaska,4.4,2004,Male,Alaska,4.4,2005,Female,Alaska,5.6,2005,Male,Alaska,5.8,2006,Female,Alaska,6.7,2006,Male,Alaska,7.4,2007,Female,Alaska,6.3,2007,Male,Alaska,6.9,2008,Female,Alaska,7.4,2008,Male,Alaska,7.3,2009,Female,Alaska,5.4,2009,Male,Alaska,7.7,2010,Female,Alaska,7.1,2010,Male,Alaska,4.8,2011,Female,Alaska,8.8,2011,Male,Alaska,8.1,Alaska,7.6,2012,Male,Alaska,6.9,Alaska,6.7,2013,Male,Alaska,7.9,2014,Female,Alaska,8.6,2014,Male,Alaska,6.7,Alaska,7.6,2015,Male,Alaska,8.1,2016,Female,Alaska,7.3,2016,Male,Alaska,8.2,2017,Female,Alaska,7.3,2017,Male,Alaska,8,2018,Female,Alaska,7.6,2018,Male,Alaska,9.8,2019,Female,Alaska,7.7,2019,Male,Alaska,6.7,2020,Female,Alaska,6.9,2020,Male,Alaska,8.1,2021,Female,Alaska,7.3,2021,Male,Alaska,8.7
2000,Female,Arizona,5.6,Arizona,6.2,2001,Female,Arizona,4.7,2001,Male,Arizona,6.2,2002,Female,Arizona,6.1,2002,Male,Arizona,6.8,Arizona,5.8,2003,Male,Arizona,6.6,2004,Female,Arizona,5.8,2004,Male,Arizona,7.4,2005,Female,Arizona,6.1,2005,Male,Arizona,8.7,2006,Female,Arizona,7.4,2006,Male,Arizona,9.2,2007,Female,Arizona,7.2,2007,Male,Arizona,9.4,2008,Female,Arizona,7.5,2008,Male,Arizona,8,2009,Female,Arizona,7.8,2009,Male,Arizona,8.5,2010,Female,Arizona,7.3,2010,Male,Arizona,7.8,2011,Female,Arizona,8.1,2011,Male,Arizona,9.9,Arizona,9.6,2012,Male,Arizona,10.6,Arizona,8.9,2013,Male,Arizona,10.7,2014,Female,Arizona,8.3,2014,Male,Arizona,10.1,Arizona,9.2,2015,Male,Arizona,9.1,2016,Female,Arizona,8.2,2016,Male,Arizona,11.3,2017,Female,Arizona,8.5,2017,Male,Arizona,10.3,2018,Female,Arizona,9.2,2018,Male,Arizona,9.9,2019,Female,Arizona,9.3,2019,Male,Arizona,10.4,2020,Female,Arizona,8.7,2020,Male,Arizona,11,2021,Female,Arizona,9.3,2021,Male,Arizona,10.1
2000,Female,Arkansas,5.8,Arkansas,5.9,2001,Female,Arkansas,6.6,2001,Male,Arkansas,5.9,2002,Female,Arkansas,7,2002,Male,Arkansas,8.2,Arkansas,6.9,2003,Male,Arkansas,7.3,2004,Female,Arkansas,6.4,2004,Male,Arkansas,7,2005,Female,Arkansas,7.4,2005,Male,Arkansas,8.3,2006,Female,Arkansas,7,2006,Male,Arkansas,8.6,2007,Female,Arkansas,8.8,2007,Male,Arkansas,8.8,2008,Female,Arkansas,7.8,2008,Male,Arkansas,10.3,2009,Female,Arkansas,8.6,2009,Male,Arkansas,10.4,2010,Female,Arkansas,8.7,2010,Male,Arkansas,9.3,2011,Female,Arkansas,9.6,2011,Male,Arkansas,11.1,Arkansas,10.5,2012,Male,Arkansas,10.2,Arkansas,9.3,2013,Male,Arkansas,11.8,2014,Female,Arkansas,11.3,2014,Male,Arkansas,11.9,Arkansas,12.3,2015,Male,Arkansas,10.3,2016,Female,Arkansas,12.3,2016,Male,Arkansas,11.9,2017,Female,Arkansas,11,2017,Male,Arkansas,10.8,2018,Female,Arkansas,11.8,2018,Male,Arkansas,13.1,2019,Female,Arkansas,12,2019,Male,Arkansas,12.3,2020,Female,Arkansas,12.4,2020,Male,Arkansas,11.1,2021,Female,Arkansas,10.5,2021,Male,Arkansas,11.3
2000,Female,California,6.1,California,8.3,2001,Female,California,7,2001,Male,California,8.3,2002,Female,California,7.3,2002,Male,California,8.7,California,7.5,2003,Male,California,7.6,2004,Female,California,6,2004,Male,California,9.1,2005,Female,California,6.8,2005,Male,California,8.1,2006,Female,California,7.4,2006,Male,California,9.7,2007,Female,California,7.5,2007,Male,California,8.4,2008,Female,California,8.1,2008,Male,California,9.5,2009,Female,California,8.4,2009,Male,California,10.2,2010,Female,California,8.3,2010,Male,California,9,2011,Female,California,7.8,2011,Male,California,9.1,California,8.8,2012,Male,California,10.4,California,9.6,2013,Male,California,10.3,2014,Female,California,9,2014,Male,California,10.9,California,8.7,2015,Male,California,10.7,2016,Female,California,9.1,2016,Male,California,10.3,2017,Female,California,9,2017,Male,California,10.6,2018,Female,California,9.3,2018,Male,California,10.2,2019,Female,California,8.8,2019,Male,California,10.2,2020,Female,California,8.7,2020,Male,California,9.8,2021,Female,California,10.8,2021,Male,California,11.1
2000,Female,Colorado,4.1,Colorado,6.4,2001,Female,Colorado,3.7,2001,Male,Colorado,6.4,2002,Female,Colorado,4.3,2002,Male,Colorado,5.2,Colorado,3.9,2003,Male,Colorado,6.3,2004,Female,Colorado,3.8,2004,Male,Colorado,5.5,2005,Female,Colorado,4.5,2005,Male,Colorado,5.8,2006,Female,Colorado,4.9,2006,Male,Colorado,6.4,2007,Female,Colorado,5.1,2007,Male,Colorado,6.3,2008,Female,Colorado,5.4,2008,Male,Colorado,7,2009,Female,Colorado,5.4,2009,Male,Colorado,6.5,2010,Female,Colorado,5.2,2010,Male,Colorado,7,2011,Female,Colorado,5.8,2011,Male,Colorado,7.6,Colorado,6.3,2012,Male,Colorado,8.2,Colorado,5.5,2013,Male,Colorado,7.1,2014,Female,Colorado,6.5,2014,Male,Colorado,7.4,Colorado,5.4,2015,Male,Colorado,7.5,2016,Female,Colorado,5.8,2016,Male,Colorado,6.7,2017,Female,Colorado,6.9,2017,Male,Colorado,7.3,2018,Female,Colorado,6.3,2018,Male,Colorado,7,2019,Female,Colorado,6.3,2019,Male,Colorado,6.9,2020,Female,Colorado,6.8,2020,Male,Colorado,7.6,2021,Female,Colorado,6.3,2021,Male,Colorado,6.6
2000,Female,Connecticut,4.8,Connecticut,5.9,2001,Female,Connecticut,5.5,2001,Male,Connecticut,5.9,2002,Female,Connecticut,5.4,2002,Male,Connecticut,5.9,Connecticut,5,2003,Male,Connecticut,6.4,2004,Female,Connecticut,5,2004,Male,Connecticut,6.5,2005,Female,Connecticut,6.2,2005,Male,Connecticut,6.1,2006,Female,Connecticut,6,2006,Male,Connecticut,6.3,2007,Female,Connecticut,5.8,2007,Male,Connecticut,8,2008,Female,Connecticut,6.4,2008,Male,Connecticut,6.3,2009,Female,Connecticut,4.9,2009,Male,Connecticut,7.5,2010,Female,Connecticut,6.1,2010,Male,Connecticut,7.5,2011,Female,Connecticut,7.6,2011,Male,Connecticut,9.4,Connecticut,6.6,2012,Male,Connecticut,9.9,Connecticut,6.4,2013,Male,Connecticut,8.5,2014,Female,Connecticut,7.7,2014,Male,Connecticut,8.5,Connecticut,7,2015,Male,Connecticut,9.3,2016,Female,Connecticut,8,2016,Male,Connecticut,9,2017,Female,Connecticut,7.6,2017,Male,Connecticut,9.4,2018,Female,Connecticut,7.2,2018,Male,Connecticut,9.7,2019,Female,Connecticut,7.5,2019,Male,Connecticut,9.2,2020,Female,Connecticut,7.2,2020,Male,Connecticut,9.3,2021,Female,Connecticut,8.3,2021,Male,Connecticut,10.5
2000,Female,Delaware,5.4,Delaware,7.6,2001,Female,Delaware,6.3,2001,Male,Delaware,7.6,2002,Female,Delaware,6.2,2002,Male,Delaware,7.9,Delaware,6.5,2003,Male,Delaware,8.4,2004,Female,Delaware,6.2,2004,Male,Delaware,7.8,2005,Female,Delaware,7.2,2005,Male,Delaware,9.7,2006,Female,Delaware,6.7,2006,Male,Delaware,8.9,2007,Female,Delaware,8.3,2007,Male,Delaware,8.4,2008,Female,Delaware,7.3,2008,Male,Delaware,8.5,2009,Female,Delaware,5.5,2009,Male,Delaware,9.8,2010,Female,Delaware,7.5,2010,Male,Delaware,8.5,2011,Female,Delaware,8.3,2011,Male,Delaware,9.5,Delaware,7.6,2012,Male,Delaware,10,Delaware,10,2013,Male,Delaware,9.9,2014,Female,Delaware,9.2,2014,Male,Delaware,10.5,Delaware,9.1,2015,Male,Delaware,10.9,2016,Female,Delaware,8.4,2016,Male,Delaware,9.9,2017,Female,Delaware,8.9,2017,Male,Delaware,10.4,2018,Female,Delaware,9,2018,Male,Delaware,11.4,2019,Female,Delaware,9.7,2019,Male,Delaware,12.3,2020,Female,Delaware,9.4,2020,Male,Delaware,11.8,2021,Female,Delaware,9.6,2021,Male,Delaware,10.5
2000,Female,District of Columbia,7.8,District of Columbia,7,2001,Female,District of Columbia,7,2001,Male,District of Columbia,7,2002,Female,District of Columbia,7.7,2002,Male,District of Columbia,8.7,District of Columbia,9.5,2003,Male,District of Columbia,7.9,2004,Female,District of Columbia,8.8,2004,Male,District of Columbia,9.5,2005,Female,District of Columbia,8,2005,Male,District of Columbia,7.2,2006,Female,District of Columbia,8.3,2006,Male,District of Columbia,8.8,2007,Female,District of Columbia,9,2007,Male,District of Columbia,7.8,2008,Female,District of Columbia,9.2,2008,Male,District of Columbia,7.5,2009,Female,District of Columbia,8,2009,Male,District of Columbia,7.7,2010,Female,District of Columbia,8.3,2010,Male,District of Columbia,7.9,2011,Female,District of Columbia,9,2011,Male,District of Columbia,10.1,District of Columbia,8.8,2012,Male,District of Columbia,9.1,District of Columbia,8.9,2013,Male,District of Columbia,7.7,2014,Female,District of Columbia,9.4,2014,Male,District of Columbia,9.1,District of Columbia,9.3,2015,Male,District of Columbia,9.4,2016,Female,District of Columbia,9.6,2016,Male,District of Columbia,7,2017,Female,District of Columbia,8.7,2017,Male,District of Columbia,7.7,2018,Female,District of Columbia,9.4,2018,Male,District of Columbia,9.1,2019,Female,District of Columbia,9.3,2019,Male,District of Columbia,9.6,2020,Female,District of Columbia,8.4,2020,Male,District of Columbia,8.2,2021,Female,District of Columbia,8.3,2021,Male,District of Columbia,8.3
2000,Female,Florida,5.9,Florida,6.6,2001,Female,Florida,6.2,2001,Male,Florida,6.6,2002,Female,Florida,6.6,2002,Male,Florida,7.4,Florida,6.9,2003,Male,Florida,8.7,2004,Female,Florida,6.9,2004,Male,Florida,7.3,2005,Female,Florida,7.6,2005,Male,Florida,8.4,2006,Female,Florida,6.3,2006,Male,Florida,9.1,2007,Female,Florida,6.9,2007,Male,Florida,8.6,2008,Female,Florida,7.4,2008,Male,Florida,9.6,2009,Female,Florida,8.8,2009,Male,Florida,10.6,2010,Female,Florida,7.4,2010,Male,Florida,10,2011,Female,Florida,8.2,2011,Male,Florida,9.9,Florida,8.9,2012,Male,Florida,11,Florida,8.4,2013,Male,Florida,10.5,2014,Female,Florida,9.7,2014,Male,Florida,9.2,Florida,8.9,2015,Male,Florida,9.8,2016,Female,Florida,9.1,2016,Male,Florida,10.6,2017,Female,Florida,8.5,2017,Male,Florida,8.8,2018,Female,Florida,9.4,2018,Male,Florida,11.7,2019,Female,Florida,8.4,2019,Male,Florida,10.6,2020,Female,Florida,9.1,2020,Male,Florida,9.8,2021,Female,Florida,No Data,2021,Male,Florida,No Data
2000,Female,Georgia,7.5,Georgia,6.8,2001,Female,Georgia,7.2,2001,Male,Georgia,6.8,2002,Female,Georgia,7.6,2002,Male,Georgia,7.3,Georgia,7.9,2003,Male,Georgia,8.8,2004,Female,Georgia,7.2,2004,Male,Georgia,8.7,2005,Female,Georgia,8.2,2005,Male,Georgia,9.7,2006,Female,Georgia,9,2006,Male,Georgia,10.6,2007,Female,Georgia,10.5,2007,Male,Georgia,11.2,2008,Female,Georgia,9.7,2008,Male,Georgia,10.8,2009,Female,Georgia,8.7,2009,Male,Georgia,11.4,2010,Female,Georgia,9.9,2010,Male,Georgia,9.8,2011,Female,Georgia,10.1,2011,Male,Georgia,10.5,Georgia,9.4,2012,Male,Georgia,10.1,Georgia,11,2013,Male,Georgia,9.8,2014,Female,Georgia,10.6,2014,Male,Georgia,11.5,Georgia,10.3,2015,Male,Georgia,11.2,2016,Female,Georgia,11.2,2016,Male,Georgia,11.7,2017,Female,Georgia,10.7,2017,Male,Georgia,10.6,2018,Female,Georgia,11.6,2018,Male,Georgia,11.8,2019,Female,Georgia,11.8,2019,Male,Georgia,10.6,2020,Female,Georgia,10.6,2020,Male,Georgia,11,2021,Female,Georgia,10.6,2021,Male,Georgia,12.3
2000,Female,Hawaii,4.4,Hawaii,6,2001,Female,Hawaii,5.2,2001,Male,Hawaii,6,2002,Female,Hawaii,6.1,2002,Male,Hawaii,4.9,Hawaii,7,2003,Male,Hawaii,7.3,2004,Female,Hawaii,No Data,2004,Male,Hawaii,No Data,2005,Female,Hawaii,6.2,2005,Male,Hawaii,7.8,2006,Female,Hawaii,7.5,2006,Male,Hawaii,7.9,2007,Female,Hawaii,6.7,2007,Male,Hawaii,7.7,2008,Female,Hawaii,7.7,2008,Male,Hawaii,7.7,2009,Female,Hawaii,8.2,2009,Male,Hawaii,7.6,2010,Female,Hawaii,6.9,2010,Male,Hawaii,8.3,2011,Female,Hawaii,7.6,2011,Male,Hawaii,8,Hawaii,6.7,2012,Male,Hawaii,7.3,Hawaii,7.2,2013,Male,Hawaii,7.7,2014,Female,Hawaii,8.2,2014,Male,Hawaii,9.6,Hawaii,7.3,2015,Male,Hawaii,8.2,2016,Female,Hawaii,8.9,2016,Male,Hawaii,10.4,2017,Female,Hawaii,10,2017,Male,Hawaii,9.8,2018,Female,Hawaii,9.2,2018,Male,Hawaii,11.4,2019,Female,Hawaii,8.5,2019,Male,Hawaii,10.2,2020,Female,Hawaii,8.5,2020,Male,Hawaii,10.6,2021,Female,Hawaii,7.2,2021,Male,Hawaii,9.1
2000,Female,Idaho,4.9,Idaho,4.7,2001,Female,Idaho,5.4,2001,Male,Idaho,4.7,2002,Female,Idaho,5.8,2002,Male,Idaho,6.7,Idaho,5.5,2003,Male,Idaho,7.2,2004,Female,Idaho,6.2,2004,Male,Idaho,6.2,2005,Female,Idaho,6.8,2005,Male,Idaho,7,2006,Female,Idaho,6.5,2006,Male,Idaho,7.2,2007,Female,Idaho,8.4,2007,Male,Idaho,7.3,2008,Female,Idaho,6.4,2008,Male,Idaho,7.6,2009,Female,Idaho,7.4,2009,Male,Idaho,8.1,2010,Female,Idaho,6.7,2010,Male,Idaho,8.8,2011,Female,Idaho,8,2011,Male,Idaho,10.1,Idaho,7.1,2012,Male,Idaho,8.6,Idaho,6.7,2013,Male,Idaho,9,2014,Female,Idaho,6.9,2014,Male,Idaho,7.3,Idaho,7.9,2015,Male,Idaho,6.8,2016,Female,Idaho,8.1,2016,Male,Idaho,8.2,2017,Female,Idaho,8.3,2017,Male,Idaho,7.7,2018,Female,Idaho,9.1,2018,Male,Idaho,9.3,2019,Female,Idaho,8.8,2019,Male,Idaho,9.8,2020,Female,Idaho,7.7,2020,Male,Idaho,8.2,2021,Female,Idaho,8.5,2021,Male,Idaho,9.1
2000,Female,Illinois,6.3,Illinois,5.9,2001,Female,Illinois,6.2,2001,Male,Illinois,5.9,2002,Female,Illinois,6.9,2002,Male,Illinois,6.8,Illinois,7.2,2003,Male,Illinois,7.7,2004,Female,Illinois,5.8,2004,Male,Illinois,6.4,2005,Female,Illinois,7.5,2005,Male,Illinois,8.5,2006,Female,Illinois,7.2,2006,Male,Illinois,9.1,2007,Female,Illinois,7.5,2007,Male,Illinois,10.1,2008,Female,Illinois,7.3,2008,Male,Illinois,9.1,2009,Female,Illinois,8.1,2009,Male,Illinois,7.8,2010,Female,Illinois,8.3,2010,Male,Illinois,8.8,2011,Female,Illinois,8,2011,Male,Illinois,10.9,Illinois,7.8,2012,Male,Illinois,10.1,Illinois,9.2,2013,Male,Illinois,9.3,2014,Female,Illinois,8.6,2014,Male,Illinois,10.3,Illinois,8.1,2015,Male,Illinois,10.3,2016,Female,Illinois,9.6,2016,Male,Illinois,9.5,2017,Female,Illinois,9.5,2017,Male,Illinois,10.8,2018,Female,Illinois,8.9,2018,Male,Illinois,9,2019,Female,Illinois,9.5,2019,Male,Illinois,10.6,2020,Female,Illinois,8.3,2020,Male,Illinois,10.4,2021,Female,Illinois,9.1,2021,Male,Illinois,10.5
2000,Female,Indiana,6.2,Indiana,5.8,2001,Female,Indiana,6.4,2001,Male,Indiana,5.8,2002,Female,Indiana,7.3,2002,Male,Indiana,7.6,Indiana,7.1,2003,Male,Indiana,8.4,2004,Female,Indiana,7,2004,Male,Indiana,8.3,2005,Female,Indiana,7.2,2005,Male,Indiana,9.1,2006,Female,Indiana,7.8,2006,Male,Indiana,8.1,2007,Female,Indiana,7.5,2007,Male,Indiana,8.8,2008,Female,Indiana,9.4,2008,Male,Indiana,9,2009,Female,Indiana,8.1,2009,Male,Indiana,9.9,2010,Female,Indiana,8.2,2010,Male,Indiana,10.5,2011,Female,Indiana,9.4,2011,Male,Indiana,10,Indiana,9.6,2012,Male,Indiana,10.6,Indiana,9.2,2013,Male,Indiana,10.9,2014,Female,Indiana,9.2,2014,Male,Indiana,10.6,Indiana,9.6,2015,Male,Indiana,11.5,2016,Female,Indiana,10.1,2016,Male,Indiana,10.8,2017,Female,Indiana,9.9,2017,Male,Indiana,11.5,2018,Female,Indiana,10,2018,Male,Indiana,12.5,2019,Female,Indiana,10,2019,Male,Indiana,12.4,2020,Female,Indiana,10.4,2020,Male,Indiana,10.7,2021,Female,Indiana,10,2021,Male,Indiana,11.7
2000,Female,Iowa,5.4,Iowa,6,2001,Female,Iowa,5,2001,Male,Iowa,6,2002,Female,Iowa,6,2002,Male,Iowa,6.4,Iowa,5.6,2003,Male,Iowa,6.9,2004,Female,Iowa,5.6,2004,Male,Iowa,6.3,2005,Female,Iowa,4.9,2005,Male,Iowa,7.9,2006,Female,Iowa,5.9,2006,Male,Iowa,7.6,2007,Female,Iowa,5.9,2007,Male,Iowa,6.5,2008,Female,Iowa,5.8,2008,Male,Iowa,7.1,2009,Female,Iowa,6.2,2009,Male,Iowa,7.8,2010,Female,Iowa,6.4,2010,Male,Iowa,7.3,2011,Female,Iowa,6.8,2011,Male,Iowa,7.8,Iowa,7.8,2012,Male,Iowa,9.6,Iowa,8.2,2013,Male,Iowa,8.5,2014,Female,Iowa,7.6,2014,Male,Iowa,9.3,Iowa,6.7,2015,Male,Iowa,8.7,2016,Female,Iowa,8.1,2016,Male,Iowa,8.2,2017,Female,Iowa,8.2,2017,Male,Iowa,8.5,2018,Female,Iowa,8.4,2018,Male,Iowa,9.1,2019,Female,Iowa,8.1,2019,Male,Iowa,10.1,2020,Female,Iowa,8.9,2020,Male,Iowa,9.1,2021,Female,Iowa,7.6,2021,Male,Iowa,9.6
2000,Female,Kansas,5.1,Kansas,6.3,2001,Female,Kansas,5.6,2001,Male,Kansas,6.3,2002,Female,Kansas,6.5,2002,Male,Kansas,6.4,Kansas,5.8,2003,Male,Kansas,6,2004,Female,Kansas,6.6,2004,Male,Kansas,6.2,2005,Female,Kansas,6,2005,Male,Kansas,7.6,2006,Female,Kansas,6.6,2006,Male,Kansas,7.6,2007,Female,Kansas,6.2,2007,Male,Kansas,7.8,2008,Female,Kansas,7.1,2008,Male,Kansas,8.5,2009,Female,Kansas,7.5,2009,Male,Kansas,8.8,2010,Female,Kansas,7.5,2010,Male,Kansas,8.5,2011,Female,Kansas,8.3,2011,Male,Kansas,9.8,Kansas,8.2,2012,Male,Kansas,9.4,Kansas,8.4,2013,Male,Kansas,9.4,2014,Female,Kansas,9.3,2014,Male,Kansas,9.8,Kansas,8.6,2015,Male,Kansas,9.2,2016,Female,Kansas,7.7,2016,Male,Kansas,9.4,2017,Female,Kansas,9.1,2017,Male,Kansas,10,2018,Female,Kansas,10.3,2018,Male,Kansas,10.7,2019,Female,Kansas,9.1,2019,Male,Kansas,10.5,2020,Female,Kansas,9.8,2020,Male,Kansas,10.3,2021,Female,Kansas,9.7,2021,Male,Kansas,10.4
